ps excitado a 230 los demas a 259								
								
								
								
8								
4096								
PS 5%naf DeltaDiode:329.9964(2)	PS 5%naf DeltaDiode:329.9964(2)	Pulso DeltaDiode:259.9963	PS DeltaDiode:329.9964(2)	5 Cef3 DeltaDiode:329.9964(2)	10 CeF3 DeltaDiode:329.9964(2)	10 NF DeltaDiode:329.9964(2)	15 NF DeltaDiode:329.9964(2)	20 NF DeltaDiode:329.9964(2)
X	Y	Y	Y	Y	Y	Y	Y	Y
71.35932	4079	1	279	282	284	4400	3720	3815
71.56616	4154	1	248	285	282	4178	3660	3784
71.772995	4121	1	319	285	249	4252	3789	3800
71.9798355	4058	0	276	270	279	4401	3782	3653
72.186676	4008	0	292	249	271	4158	3698	3593
72.39351	4202	0	284	277	256	4235	3683	3630
72.60035	4047	2	263	274	251	4282	3629	3658
72.80719	4005	0	265	279	257	4205	3721	3615
73.01403	4193	0	275	280	259	4272	3730	3555
73.22087	3993	0	304	264	255	4101	3648	3547
73.4277039	4101	0	296	242	238	4284	3670	3625
73.6345444	4141	1	269	245	234	4160	3690	3610
73.8413849	3960	0	255	250	214	4161	3634	3479
74.04822	4042	1	277	264	239	4227	3636	3508
74.25506	4005	1	278	256	251	4277	3609	3519
74.4619	4098	1	279	240	195	4245	3612	3604
74.66874	4018	0	289	240	253	4156	3581	3629
74.87558	3945	0	254	222	253	4195	3545	3576
75.08241	4069	0	267	235	234	4083	3518	3498
75.28925	4121	1	253	256	213	4088	3672	3595
75.49609	3843	0	248	244	237	4120	3597	3627
75.70293	4084	1	258	244	229	4095	3718	3444
75.90977	3885	0	227	241	234	4099	3611	3495
76.11661	3950	0	225	238	235	4099	3560	3433
76.32345	3907	1	243	234	215	4245	3631	3580
76.53029	4058	2	230	229	238	4007	3448	3506
76.73712	3881	0	240	217	215	4054	3521	3537
76.94396	3797	0	231	203	220	4147	3509	3370
77.1508	3985	2	289	238	229	4114	3518	3517
77.3576355	3802	1	244	235	220	4162	3520	3511
77.564476	3824	0	242	232	201	4022	3439	3543
77.77132	3857	1	217	199	202	3997	3479	3354
77.97816	3779	0	211	220	217	4071	3578	3434
78.185	3745	1	218	233	216	4083	3494	3445
78.39183	3736	0	219	193	215	3951	3453	3435
78.59867	3734	0	223	235	218	3990	3478	3333
78.80551	3794	2	234	216	189	3855	3408	3421
79.0123444	3725	3	221	206	208	3817	3476	3438
79.2191849	3813	1	196	222	197	3971	3381	3312
79.4260254	3789	0	206	206	204	4005	3407	3434
79.6328659	3700	0	221	206	212	3947	3539	3314
79.83971	3795	0	177	225	193	3887	3401	3403
80.04654	3697	0	213	192	198	3895	3482	3235
80.25338	3788	1	192	187	192	3996	3396	3441
80.46022	3867	0	208	192	202	3903	3377	3425
80.66705	3658	1	205	200	175	4012	3271	3298
80.87389	3853	1	171	210	183	3857	3322	3231
81.0807343	3556	0	195	192	210	3842	3423	3281
81.2875748	3710	1	181	197	182	3828	3314	3218
81.4944153	3798	1	198	204	187	3819	3312	3226
81.70125	3638	0	187	175	183	3911	3343	3313
81.90809	3629	2	160	218	186	3779	3327	3244
82.11493	3643	0	191	158	200	3690	3248	3292
82.32176	3571	1	187	190	187	3839	3252	3130
82.5286	3592	1	213	158	195	3864	3325	3246
82.73544	3564	0	187	183	169	3764	3179	3248
82.94228	3684	2	178	153	184	3905	3159	3189
83.1491241	3545	2	166	165	199	3778	3332	3263
83.35596	3552	0	184	165	212	3695	3211	3150
83.5628	3539	1	185	183	188	3758	3225	3273
83.76964	3752	0	191	172	203	3825	3282	3175
83.97647	3452	1	170	197	165	3749	3216	3165
84.18331	3556	0	157	153	174	3747	3211	3121
84.39015	3610	0	184	152	173	3754	3271	3074
84.59699	3638	0	175	170	151	3757	3221	3180
84.80383	3615	1	161	150	166	3657	3129	3170
85.0106659	3608	0	148	169	183	3721	3208	3109
85.21751	3497	1	164	179	168	3590	3102	3087
85.42435	3413	1	149	174	150	3726	3244	3184
85.63118	3531	1	172	174	174	3567	3121	3010
85.83802	3467	1	151	176	152	3668	3137	3161
86.04486	3510	0	166	170	148	3624	3259	2996
86.2517	3525	0	167	186	165	3600	3151	3085
86.45854	3505	3	149	169	152	3653	2994	3022
86.6653748	3475	0	157	155	176	3605	3145	3112
86.8722153	3474	2	179	157	149	3636	3043	3033
87.0790558	3471	0	153	153	148	3591	3053	3026
87.28589	3417	0	173	165	161	3546	3035	3014
87.49273	3562	0	163	160	170	3630	3200	2975
87.69957	3406	1	155	142	136	3545	3054	3026
87.90641	3513	1	144	157	135	3590	3097	3123
88.11325	3390	1	160	145	144	3516	3143	3000
88.32008	3453	1	160	151	141	3552	3075	2980
88.5269241	3498	1	135	152	163	3600	2978	2927
88.7337646	3455	1	145	171	155	3521	2999	2999
88.9406	3319	0	133	145	129	3490	3007	2897
89.14744	3383	0	157	137	158	3455	3011	2988
89.35428	3303	0	127	144	156	3548	2999	3009
89.56112	3358	0	128	162	155	3434	2942	2948
